region,year,type,population
Kostanay,2012,rural,433091
Kostanay,2013,total,879941
Kostanay,2013,urban,450890
Kostanay,2013,rural,429051
Kostanay,2014,total,880776
Kostanay,2014,urban,454634
Kostanay,2014,rural,426142
Kostanay,2015,total,881456
Kostanay,2015,urban,460239
Kostanay,2015,rural,421217
Kyzylorda,2009,total,677734
Kyzylorda,2009,urban,283971
Kyzylorda,2009,rural,393763
Kyzylorda,2010,total,689008
Kyzylorda,2010,urban,290482
Kyzylorda,2010,rural,398526
Kyzylorda,2011,total,700502
Kyzylorda,2011,urban,295737
Kyzylorda,2011,rural,404765
Kyzylorda,2012,total,712878
Kyzylorda,2012,urban,302077
Kyzylorda,2012,rural,410801
Kyzylorda,2013,total,726711
Kyzylorda,2013,urban,309950
Kyzylorda,2013,rural,416761
Kyzylorda,2014,total,739776
Kyzylorda,2014,urban,316740
Kyzylorda,2014,rural,423036
Kyzylorda,2015,total,753148
Kyzylorda,2015,urban,325060
Kyzylorda,2015,rural,428088
Mangystau,2009,total,482631
Mangystau,2009,urban,262237
Mangystau,2009,rural,220394
Mangystau,2010,total,503235
Mangystau,2010,urban,269436
Mangystau,2010,rural,233799
Mangystau,2011,total,524176
Mangystau,2011,urban,275829
Mangystau,2011,rural,248347
Mangystau,2012,total,545751
Mangystau,2012,urban,281885
Mangystau,2012,rural,263866
Mangystau,2013,total,567754
Mangystau,2013,urban,287741
Mangystau,2013,rural,280013
Mangystau,2014,total,587419
Mangystau,2014,urban,293098
Mangystau,2014,rural,294321
Mangystau,2015,total,606892
Mangystau,2015,urban,298734
Mangystau,2015,rural,308158
South Kazakhstan,2009,total,2462782
South Kazakhstan,2009,urban,970164
South Kazakhstan,2009,rural,1492618
South Kazakhstan,2010,total,2511600
South Kazakhstan,2010,urban,988734
South Kazakhstan,2010,rural,1522866
South Kazakhstan,2011,total,2567637
South Kazakhstan,2011,urban,1007809
South Kazakhstan,2011,rural,1559828
South Kazakhstan,2012,total,2621488
South Kazakhstan,2012,urban,1025541
South Kazakhstan,2012,rural,1595947
South Kazakhstan,2013,total,2678889
South Kazakhstan,2013,urban,1048405
South Kazakhstan,2013,rural,1630484
South Kazakhstan,2014,total,2733279
South Kazakhstan,2014,urban,1069735
South Kazakhstan,2014,rural,1663544
South Kazakhstan,2015,total,2788404
South Kazakhstan,2015,urban,1247454
South Kazakhstan,2015,rural,1540950
Pavlodar,2009,total,742276
Pavlodar,2009,urban,504004
Pavlodar,2009,rural,238272
Pavlodar,2010,total,744334
Pavlodar,2010,urban,508727
Pavlodar,2010,rural,235607
Pavlodar,2011,total,746122
Pavlodar,2011,urban,511808
Pavlodar,2011,rural,234314
Pavlodar,2012,total,747004
Pavlodar,2012,urban,514371
Pavlodar,2012,rural,232633
Pavlodar,2013,total,749019
Pavlodar,2013,urban,518191
Pavlodar,2013,rural,230828
Pavlodar,2014,total,752793
Pavlodar,2014,urban,524879
Pavlodar,2014,rural,227914
Pavlodar,2015,total,755778
Pavlodar,2015,urban,529911
Pavlodar,2015,rural,225867
North Kazakhstan,2009,total,597534
North Kazakhstan,2009,urban,237442
North Kazakhstan,2009,rural,360092
North Kazakhstan,2010,total,592738
North Kazakhstan,2010,urban,237993
North Kazakhstan,2010,rural,354745
North Kazakhstan,2011,total,589301
North Kazakhstan,2011,urban,238777
North Kazakhstan,2011,rural,350524
North Kazakhstan,2012,total,583582
North Kazakhstan,2012,urban,238369
North Kazakhstan,2012,rural,345213
North Kazakhstan,2013,total,579488
North Kazakhstan,2013,urban,239137
North Kazakhstan,2013,rural,340351
North Kazakhstan,2014,total,575766
North Kazakhstan,2014,urban,241176
North Kazakhstan,2014,rural,334590
North Kazakhstan,2015,total,571759
North Kazakhstan,2015,urban,243112
North Kazakhstan,2015,rural,328647
East Kazakhstan,2009,total,1396871
East Kazakhstan,2009,urban,801145
East Kazakhstan,2009,rural,595726
East Kazakhstan,2010,total,1397993
East Kazakhstan,2010,urban,804416
East Kazakhstan,2010,rural,593577
East Kazakhstan,2011,total,1397889
East Kazakhstan,2011,urban,808209
East Kazakhstan,2011,rural,589680
East Kazakhstan,2012,total,1394710
East Kazakhstan,2012,urban,811472
East Kazakhstan,2012,rural,583238
East Kazakhstan,2013,total,1393619
East Kazakhstan,2013,urban,815502
East Kazakhstan,2013,rural,578117
East Kazakhstan,2014,total,1394018
East Kazakhstan,2014,urban,822197
East Kazakhstan,2014,rural,571821
East Kazakhstan,2015,total,1395324
East Kazakhstan,2015,urban,827401
East Kazakhstan,2015,rural,567923
Astana city,2009,total,605254
Astana city,2009,urban,605254
Astana city,2009,rural,0
Astana city,2010,total,649146
Astana city,2010,urban,649146
Astana city,2010,rural,0
Astana city,2011,total,697156
Astana city,2011,urban,697156
Astana city,2011,rural,0
Astana city,2012,total,742884
Astana city,2012,urban,742884
Astana city,2012,rural,0
Astana city,2013,total,778198
Astana city,2013,urban,778198
Astana city,2013,rural,0
Astana city,2014,total,814435
Astana city,2014,urban,814435
Astana city,2014,rural,0
Astana city,2015,total,852882
Astana city,2015,urban,852882
Astana city,2015,rural,0
Almaty city,2009,total,1361877
Almaty city,2009,urban,1361877
Almaty city,2009,rural,0
Almaty city,2010,total,1390701
Almaty city,2010,urban,1390701
Almaty city,2010,rural,0
Almaty city,2011,total,1413526
Almaty city,2011,urban,1413526
Almaty city,2011,rural,0
Almaty city,2012,total,1449801
Almaty city,2012,urban,1449801
Almaty city,2012,rural,0
Almaty city,2013,total,1475429
Almaty city,2013,urban,1475429
Almaty city,2013,rural,0
Almaty city,2014,total,1507509
Almaty city,2014,urban,1507509
Almaty city,2014,rural,0
Almaty city,2015,total,1642334
Almaty city,2015,urban,1642334
Almaty city,2015,rural,0
